epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2905.51,0.50257,0.51618,0.82465,0.75144,0.7319,0.81673,0.74981,0.48454,1.03027,0.82213,0.007,0.007,0.007
102,2934.01,0.53831,0.4782,0.83463,0.6798,0.82773,0.83442,0.76166,0.46203,0.95564,0.82046,0.00697,0.00697,0.00697
103,2962.33,0.51198,0.46681,0.8237,0.78382,0.81984,0.86049,0.7829,0.47906,0.84588,0.82804,0.00694,0.00694,0.00694
104,2990.73,0.48516,0.43451,0.81298,0.83625,0.82533,0.89513,0.82868,0.4373,0.73613,0.81661,0.00691,0.00691,0.00691
105,3019.27,0.52099,0.45645,0.80941,0.83625,0.82533,0.89513,0.82868,0.4373,0.73613,0.81661,0.00688,0.00688,0.00688
106,3047.87,0.53963,0.44571,0.83894,0.83938,0.78713,0.89901,0.81439,0.50062,0.77401,0.8297,0.00685,0.00685,0.00685
107,3076.28,0.50962,0.44669,0.82917,0.79046,0.79746,0.8923,0.81435,0.45895,0.80305,0.81956,0.00682,0.00682,0.00682
108,3104.47,0.48659,0.43391,0.84503,0.73471,0.79603,0.85184,0.77373,0.46962,0.86911,0.82081,0.00679,0.00679,0.00679
109,3133.33,0.51263,0.49459,0.83035,0.73471,0.79603,0.85184,0.77373,0.46962,0.86911,0.82081,0.00676,0.00676,0.00676
110,3161.84,0.49658,0.42545,0.83539,0.83395,0.75652,0.88178,0.79768,0.48546,0.78727,0.82255,0.00673,0.00673,0.00673
111,3190.69,0.50684,0.44322,0.82086,0.77081,0.83076,0.8623,0.78456,0.46301,0.82742,0.8205,0.0067,0.0067,0.0067
112,3219.33,0.52509,0.4406,0.81883,0.84478,0.72486,0.85629,0.78795,0.45233,0.86871,0.81559,0.00667,0.00667,0.00667
113,3247.72,0.49538,0.4438,0.81787,0.84478,0.72486,0.85629,0.78795,0.45233,0.86871,0.81559,0.00664,0.00664,0.00664
114,3275.84,0.49373,0.41826,0.81635,0.81702,0.77522,0.87509,0.80753,0.43322,0.776,0.81551,0.00661,0.00661,0.00661
115,3304.09,0.5323,0.42768,0.82596,0.84308,0.76079,0.87217,0.78838,0.48269,0.7645,0.82062,0.00658,0.00658,0.00658
116,3332.57,0.46374,0.454,0.83201,0.7863,0.78211,0.8733,0.80354,0.42968,0.74455,0.81351,0.00655,0.00655,0.00655
117,3360.98,0.48399,0.41924,0.82869,0.7863,0.78211,0.8733,0.80354,0.42968,0.74455,0.81351,0.00652,0.00652,0.00652
118,3389.46,0.51818,0.43446,0.81684,0.87919,0.71158,0.89088,0.81614,0.45958,0.77199,0.81527,0.00649,0.00649,0.00649
119,3417.83,0.48536,0.41767,0.82655,0.84592,0.73275,0.88249,0.81468,0.44941,0.80299,0.8147,0.00646,0.00646,0.00646
120,3446.11,0.46968,0.48178,0.84485,0.90879,0.77946,0.91205,0.82912,0.46757,0.72283,0.8185,0.00643,0.00643,0.00643
121,3474.39,0.46585,0.45183,0.82003,0.90879,0.77946,0.91205,0.82912,0.46757,0.72283,0.8185,0.0064,0.0064,0.0064
122,3502.93,0.50026,0.41937,0.80499,0.83549,0.75675,0.88945,0.81464,0.4479,0.73522,0.81407,0.00637,0.00637,0.00637
123,3531.25,0.4626,0.41278,0.83192,0.84724,0.79065,0.89068,0.80422,0.50241,0.72628,0.82366,0.00634,0.00634,0.00634
124,3559.59,0.47266,0.427,0.82262,0.66546,0.85803,0.8532,0.79239,0.40492,0.81056,0.80698,0.00631,0.00631,0.00631
125,3587.77,0.46579,0.40131,0.81878,0.66546,0.85803,0.8532,0.79239,0.40492,0.81056,0.80698,0.00628,0.00628,0.00628
126,3616.41,0.48992,0.41901,0.81385,0.77049,0.84114,0.89382,0.80946,0.49271,0.69637,0.82316,0.00625,0.00625,0.00625
127,3644.93,0.45815,0.4073,0.83899,0.74277,0.87317,0.88306,0.81941,0.41481,0.7288,0.80671,0.00622,0.00622,0.00622
128,3673.55,0.45869,0.42538,0.81837,0.76138,0.84294,0.89592,0.8078,0.49098,0.73781,0.82071,0.00619,0.00619,0.00619
129,3702.24,0.45115,0.43592,0.82317,0.76138,0.84294,0.89592,0.8078,0.49098,0.73781,0.82071,0.00616,0.00616,0.00616
130,3730.74,0.50803,0.46936,0.81448,0.8058,0.8656,0.91384,0.84702,0.40461,0.70274,0.80778,0.00613,0.00613,0.00613
131,3759.38,0.43942,0.51116,0.81901,0.80714,0.80988,0.90343,0.82812,0.4739,0.67479,0.82045,0.0061,0.0061,0.0061
132,3787.77,0.42963,0.39689,0.81513,0.71475,0.75998,0.82423,0.77338,0.39329,0.97982,0.80549,0.00607,0.00607,0.00607
133,3815.68,0.41952,0.42448,0.81383,0.71475,0.75998,0.82423,0.77338,0.39329,0.97982,0.80549,0.00604,0.00604,0.00604
134,3843.83,0.4387,0.39196,0.80299,0.71167,0.79006,0.85466,0.78046,0.46351,0.94175,0.82141,0.00601,0.00601,0.00601
135,3872.65,0.47685,0.4142,0.81462,0.80088,0.76854,0.88983,0.82735,0.39893,0.80008,0.80706,0.00598,0.00598,0.00598
136,3901.1,0.42678,0.35866,0.79863,0.85433,0.73892,0.86548,0.79093,0.46619,0.89276,0.82227,0.00595,0.00595,0.00595
137,3929.64,0.50919,0.41437,0.83455,0.85433,0.73892,0.86548,0.79093,0.46619,0.89276,0.82227,0.00592,0.00592,0.00592
138,3958,0.44381,0.3994,0.80782,0.78171,0.76088,0.8204,0.76817,0.39927,1.07573,0.80561,0.00589,0.00589,0.00589
139,3986.51,0.41844,0.39401,0.79476,0.77376,0.79166,0.87978,0.81033,0.44742,0.75961,0.81654,0.00586,0.00586,0.00586
140,4014.71,0.39382,0.34909,0.81556,0.7969,0.77938,0.87651,0.81296,0.41871,0.78355,0.80739,0.00583,0.00583,0.00583
141,4042.94,0.49299,0.43995,0.82351,0.7969,0.77938,0.87651,0.81296,0.41871,0.78355,0.80739,0.0058,0.0058,0.0058
142,4071.41,0.44655,0.40184,0.81341,0.79395,0.83629,0.89853,0.82248,0.42766,0.70143,0.81119,0.00577,0.00577,0.00577
143,4099.78,0.41472,0.41312,0.80973,0.81284,0.80048,0.86905,0.79575,0.42523,0.74552,0.80998,0.00574,0.00574,0.00574
144,4128.98,0.47105,0.4072,0.81386,0.7797,0.79142,0.8563,0.791,0.41372,0.8001,0.8073,0.00571,0.00571,0.00571
145,4157.72,0.40901,0.42327,0.81167,0.7797,0.79142,0.8563,0.791,0.41372,0.8001,0.8073,0.00568,0.00568,0.00568
146,4185.94,0.44542,0.43542,0.80984,0.80783,0.78503,0.8583,0.79091,0.42552,0.81841,0.80932,0.00565,0.00565,0.00565
147,4214.27,0.44581,0.4469,0.80833,0.75727,0.81239,0.85008,0.78739,0.41968,0.88217,0.81111,0.00562,0.00562,0.00562
148,4242.25,0.43142,0.42468,0.81397,0.71587,0.85394,0.86446,0.80455,0.40263,0.78468,0.80809,0.00559,0.00559,0.00559
149,4270.45,0.39796,0.37739,0.82262,0.71587,0.85394,0.86446,0.80455,0.40263,0.78468,0.80809,0.00556,0.00556,0.00556
150,4298.71,0.44412,0.38168,0.81313,0.7163,0.83388,0.84232,0.77592,0.44047,0.92952,0.81467,0.00553,0.00553,0.00553
151,4327.08,0.49431,0.47343,0.82293,0.76304,0.80467,0.8679,0.80834,0.39895,0.83923,0.80891,0.0055,0.0055,0.0055
152,4355.4,0.43255,0.39112,0.81311,0.77109,0.70814,0.8073,0.75274,0.39192,1.00954,0.80758,0.00547,0.00547,0.00547
153,4383.44,0.43316,0.37589,0.83034,0.77109,0.70814,0.8073,0.75274,0.39192,1.00954,0.80758,0.00544,0.00544,0.00544
154,4411.92,0.39885,0.34554,0.81208,0.69315,0.74844,0.79947,0.74153,0.4278,1.14592,0.81065,0.00541,0.00541,0.00541
155,4440.12,0.40648,0.36861,0.8186,0.78084,0.68048,0.79955,0.74016,0.39634,1.17706,0.80515,0.00538,0.00538,0.00538
156,4469.56,0.42291,0.38861,0.82049,0.69714,0.76414,0.80572,0.74482,0.41868,1.06887,0.80794,0.00535,0.00535,0.00535
157,4498,0.43119,0.38477,0.81469,0.69714,0.76414,0.80572,0.74482,0.41868,1.06887,0.80794,0.00532,0.00532,0.00532
158,4526.56,0.38465,0.36505,0.78943,0.80454,0.76068,0.84377,0.79122,0.38895,0.87217,0.80238,0.00529,0.00529,0.00529
159,4554.91,0.40015,0.38902,0.7971,0.84544,0.76934,0.86979,0.80147,0.42548,0.78084,0.80878,0.00526,0.00526,0.00526
160,4583.29,0.40256,0.36162,0.82797,0.71691,0.83507,0.83888,0.78669,0.39359,0.85719,0.80249,0.00523,0.00523,0.00523
161,4611.81,0.41403,0.36762,0.81085,0.71691,0.83507,0.83888,0.78669,0.39359,0.85719,0.80249,0.0052,0.0052,0.0052
162,4640.98,0.41622,0.38145,0.79422,0.68407,0.79629,0.80386,0.74865,0.41877,1.02119,0.80658,0.00517,0.00517,0.00517
163,4670.82,0.41011,0.36416,0.81041,0.73462,0.85582,0.85464,0.79595,0.42195,0.8246,0.80961,0.00514,0.00514,0.00514
164,4700.45,0.40433,0.36119,0.81661,0.79986,0.82624,0.86171,0.8024,0.40355,0.74208,0.80531,0.00511,0.00511,0.00511
165,4729.68,0.40872,0.36429,0.81515,0.79986,0.82624,0.86171,0.8024,0.40355,0.74208,0.80531,0.00508,0.00508,0.00508
